timestamp,traffic_label,ap1_proto,ap1_streams,ap1_udp_rate,ap1_tcp_window,ap1_throughput_bps,ap1_loss_pct,ap1_jitter_ms,ap1_txd_client_mac,ap1_txd_tx_delta_bytes,ap1_txd_estimated_throughput_bps,ap1_wifi_channel,ap1_wifi_frequency_mhz,ap1_wifi_bandwidth_mhz,ap1_wifi_tx_power_dbm,ap1_wifi_cwmin,ap1_wifi_cwmax,ap1_wifi_noise_floor_dbm,ap1_wifi_channel_busy_percent,ap1_wifi_nss,ap1_wifi_rts_cts,ap1_wifi_latency_min_ms,ap1_wifi_latency_avg_ms,ap1_wifi_latency_max_ms,ap1_client_client_mac,ap1_client_signal_rssi_dbm,ap1_client_tx_retries,ap1_client_tx_failed,ap1_client_tx_bitrate_mbps,ap1_client_rx_bitrate_mbps,ap1_client_tx_bytes,ap1_client_rx_bytes,ap1_client_mcs_index,ap2_proto,ap2_streams,ap2_udp_rate,ap2_tcp_window,ap2_throughput_bps,ap2_loss_pct,ap2_jitter_ms,ap2_txd_client_mac,ap2_txd_tx_delta_bytes,ap2_txd_estimated_throughput_bps,ap2_wifi_channel,ap2_wifi_frequency_mhz,ap2_wifi_bandwidth_mhz,ap2_wifi_tx_power_dbm,ap2_wifi_cwmin,ap2_wifi_cwmax,ap2_wifi_noise_floor_dbm,ap2_wifi_channel_busy_percent,ap2_wifi_nss,ap2_wifi_rts_cts,ap2_wifi_latency_min_ms,ap2_wifi_latency_avg_ms,ap2_wifi_latency_max_ms,ap2_client_client_mac,ap2_client_signal_rssi_dbm,ap2_client_tx_retries,ap2_client_tx_failed,ap2_client_tx_bitrate_mbps,ap2_client_rx_bitrate_mbps,ap2_client_tx_bytes,ap2_client_rx_bytes,ap2_client_mcs_index
2025-08-12 14:01:44,RUN_20250812_140125_1,TCP,1,,4M,101710763.35267946,0.0,,68:54:5a:e2:f2:c0,126843452,101474761,44,5220,80,17,7,15,-89,13,2,on,1.084,3.681,10.305,68:54:5a:e2:f2:c0,-41,850,850,292.5,6.0,126844652,142098,7,TCP,1,,,63228456.255518064,0.0,,ac:ed:5c:47:06:cb,79083084.0,63266467.0,40,5200,40,10,31,63,-92,0,2,on,0.951,1.422,1.884,ac:ed:5c:47:06:cb,-46.0,2432.0,2432.0,135.0,300.0,79083084.0,259462.0,7.0
2025-08-12 14:02:50,RUN_20250812_140225_3,TCP,16,,,20876398.79333653,0.0,,68:54:5a:e2:f2:c0,23655493,18924394,36,5180,20,10,63,127,-91,37,2,on,1.997,2.096,2.256,68:54:5a:e2:f2:c0,-49,2241,2281,65.0,144.4,23656639,429127,7,TCP,2,,,175529200.09703866,0.0,,ac:ed:5c:47:06:cb,223226584.0,178581267.0,40,5200,80,23,31,63,-86,18,1,on,2.063,2.147,2.227,ac:ed:5c:47:06:cb,-47.0,4558.0,4558.0,390.0,866.7,223226662.0,444056.0,9.0
2025-08-12 14:03:23,RUN_20250812_140258_4,UDP,1,10M,,9999230.805999713,0.04633920296570899,1.692140679254801,68:54:5a:e2:f2:c0,12866378,10293102,40,5200,80,10,31,63,-91,29,1,on,1.29,1.606,1.759,68:54:5a:e2:f2:c0,-43,173,173,351.0,468.0,12867578,12628,8,TCP,16,,,99558572.05027775,0.0,,ac:ed:5c:47:06:cb,121632670.0,97306136.0,44,5220,40,17,31,63,-86,18,1,off,1.812,1.881,1.937,ac:ed:5c:47:06:cb,-46.0,4879.0,4879.0,135.0,6.0,121632772.0,2707384.0,7.0
2025-08-12 14:03:58,RUN_20250812_140330_5,UDP,1,10M,,9999229.80608453,0.023169601482854494,1.7835862797899487,68:54:5a:e2:f2:c0,25731465,20585172,40,5200,80,10,15,31,-91,29,1,on,1.681,1.709,1.78,68:54:5a:e2:f2:c0,-43,352,352,351.0,585.0,25732665,17611,8,TCP,1,,512K,48706621.355246656,0.0,,ac:ed:5c:47:06:cb,63051418.0,50441134.0,48,5240,20,17,31,63,-86,18,1,off,1.062,1.341,2.107,ac:ed:5c:47:06:cb,-43.0,2630.0,2630.0,65.0,144.4,63051418.0,295085.0,7.0
2025-08-12 14:05:04,RUN_20250812_140439_7,UDP,1,200M,,81473103.56248187,21.5659789856824,0.018009142848565248,68:54:5a:e2:f2:c0,234561013,187648810,40,5200,40,10,7,15,-91,2,2,off,1.937,1.971,2.042,68:54:5a:e2:f2:c0,-55,2745,2793,135.0,300.0,234561956,231970,7,UDP,1,400M,,73558142.5465011,0.07401574803149606,0.32541024420755,ac:ed:5c:47:06:cb,518898178.0,415118542.0,40,5200,80,10,7,15,-88,5,2,off,1.183,1.868,2.169,ac:ed:5c:47:06:cb,-46.0,499.0,499.0,292.5,12.0,518898178.0,2281874.0,7.0
2025-08-12 14:05:36,RUN_20250812_140512_8,UDP,1,10M,,9999230.805999713,1.7377201112140872,0.257639734766739,68:54:5a:e2:f2:c0,12866345,10293076,40,5200,80,17,15,31,-92,0,1,off,0.985,1.357,1.908,68:54:5a:e2:f2:c0,-44,15,15,135.0,216.0,12867545,12632,7,UDP,1,5M,,4999616.402915338,0.0,0.27772135939176634,ac:ed:5c:47:06:cb,6436769.0,5149415.0,44,5220,40,17,7,15,-88,5,2,off,1.073,1.483,2.167,ac:ed:5c:47:06:cb,-47.0,85.0,85.0,135.0,36.0,6437129.0,6507.0,7.0
2025-08-12 14:06:09,RUN_20250812_140543_9,UDP,1,10M,,9999229.80608453,0.3707136237256719,1.7259382965541936,68:54:5a:e2:f2:c0,12866837,10293469,44,5220,80,17,7,15,-92,0,1,on,1.031,1.589,2.189,68:54:5a:e2:f2:c0,-44,2262,2294,351.0,468.0,12868037,14242,8,UDP,1,100M,,47770875.432996534,0.0024248890613254442,0.47364694796506174,ac:ed:5c:47:06:cb,61450769.0,49160615.0,48,5240,20,23,7,15,-88,5,2,off,1.727,1.84,1.937,ac:ed:5c:47:06:cb,-49.0,4084.0,4085.0,65.0,6.0,61450847.0,5466.0,7.0
2025-08-12 14:08:22,RUN_20250812_140756_13,UDP,1,100M,,82699847.7411876,4.097097714029583,0.012350114955131811,68:54:5a:e2:f2:c0,106378488,85102790,40,5200,40,17,31,63,-92,0,2,on,0.984,1.347,2.05,68:54:5a:e2:f2:c0,-44,162,162,135.0,162.0,106380040,7807,7,UDP,1,100M,,84937808.12241177,0.0,0.0225974451583363,ac:ed:5c:47:06:cb,109257502.0,87406001.0,40,5200,80,17,7,15,-92,0,1,off,2.153,2.24,2.343,ac:ed:5c:47:06:cb,-47.0,295.0,295.0,351.0,6.0,109257502.0,5018.0,8.0
2025-08-12 14:08:57,RUN_20250812_140829_14,TCP,1,,1M,48020833.3229168,0.0,,68:54:5a:e2:f2:c0,61269373,49015498,40,5200,20,17,15,31,-92,0,2,off,0.88,1.216,1.95,68:54:5a:e2:f2:c0,-56,4132,4132,65.0,144.4,61270925,139572,7,TCP,1,,4M,,0.0,,ac:ed:5c:47:06:cb,2723.0,2178.0,44,5220,80,17,7,15,-92,0,2,on,2.087,2.298,2.729,ac:ed:5c:47:06:cb,-45.0,3.0,3.0,6.0,18.0,4225.0,4870.0,
2025-08-12 14:10:03,RUN_20250812_140935_16,TCP,1,,1M,40045315.35199047,0.0,,68:54:5a:e2:f2:c0,51038655,40830924,40,5200,40,17,7,15,-92,0,1,off,1.124,1.448,1.879,68:54:5a:e2:f2:c0,-56,2733,2733,135.0,300.0,51040207,100471,7,TCP,1,,,201743682.1732868,0.0,,ac:ed:5c:47:06:cb,261580469.0,209264375.0,44,5220,80,23,15,31,-92,0,1,on,2.036,2.119,2.232,ac:ed:5c:47:06:cb,-44.0,2361.0,2361.0,390.0,6.0,261580625.0,399983.0,9.0
